f_id,f_ori_name,sci_name,edible_portion,alcohol (etanol),"energía, total","grasa, total (lipidos totales)","proteina, total",agua (humedad),carbohidratos,"fibra, dietetica total",ácido graso 22:6 n-3 (ácido docosahexaenóico),ácido graso 20:5 (ácido eicosapentaenóico),ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,"ácidos grasos, trans totales",colesterol,Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc)
2360,"Acelgas, hervidas",,1.000000,0,121.02,0.39,1.9,92.3,4.37,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.07,0.03,NA,0,227,TR,0.03,10,0.58,0.05,0.05,TR,0.08,13.5,80,2.63,275.5,56.8,108.75,38,35,0.79,0.02
2361,Ajo,Allium sativum,0.010000,0,488.547,0.23,3.9375,70.4,24.3,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.1,0.05,NA,0,TR,0,0.1,4.8,0.27,0.02,0.16,0,0.32,14,17.8,1.2,446,24.1,19,134,4.7,0.5,1.1
2362,"Ajo, frito",Allium sativum l.,1.000000,0,424.22,0.59,7.7,64.3,15.97,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.3,0.1,NA,0,0.29,0,0.01,3.25,1.87,0.03,0.1,0,0.29,11.48,18.62,1.86,607.6,24.5,3.82,166.6,2.94,1.96,0.98
2363,Alcachofas en conserva,,1.000000,0,75.62,0.16,2.9,86.3,1.2,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.068,0.037,NA,0,15,0,0.2,47,0.9,0.04,0.05,0,0.09,6,44,1,300,27,15,50,0.4,0.2,0.1
2364,Alcaparra,Capparis spinosa,0.800000,0,107.64,0.86,2.36,85.16,2.1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063,0.304,0.233,NA,0,13.8,0,0.88,23,0.652,0.139,0.018,0,0.023,4.3,40,1.67,40,33,2964,10,BL,1.2,0.32
2365,Zumo de uva,,1.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2366,"Apio, crudo",Apium graveolens,0.860000,0,44.5,0.1,0.9,94.4,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TR,TR,TR,NA,0,95,TR,0.2,18,0.4,0.04,0.05,TR,0.1,8,52,0.5,305,14,110,32,0,0.4,0.1
2368,Arandano,Vaccinium myrtillus,0.990000,0,135.675,0.6,0.625,87.8,6.05,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TR,TR,TR,NA,0,5.7,0,1.921,10,0.09,0.02,0.02,0,0.06,22,10,0.74,78,2.4,1,13,1,0.1,0.131
2369,"Bambú, crudo",Bambusa vulgaris,0.710000,0,143.7,0.3,2.6,91,5.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.134,0.069,NA,0,6,0,1,7,0.6,0.07,0.15,0,0.24,4,13,0.5,533,3,4,59,BL,0.8,1.1
2370,Berenjena,Solanum melongena,0.700000,0,83.9,0.2,0.7,92.2,3.8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TR,0.09,TR,NA,0,8,0,0.03,19,0.6,0.03,0.04,0,0.1,4,10,0.3,262,13,3,21,0,0.4,0.1
